Description,ACTUAL_AMT,ACTUAL_%REV,FC_AMT,FC_%REV,FC_VARIANCE_AMT,FC_VARIANCE%REV,LY_AMT,LY_%REV,LY_VARIANCE_AMT,LY_VARIANCE_%REV
MUSIC/ENTERTAINMENT,6125.00,5.60,3500.00,3.80,2625.00,1.70,5000.00,6.70,1125.00,-1.10
TOTAL Landshark OTHER EXPENSES,6390.00,5.80,3500.00,3.80,2890.00,2.00,5000.00,6.70,1390.00,-0.80
TOTALLandshark EXPENSE,105307.00,95.90,105628.00,116.10,-321.00,-20.20,76574.00,102.10,28733.00,-6.20
TOTAL Landshark PROFIT,4464.00,4.10,-14659.00,-16.10,19123.00,20.20,-1584.00,-2.10,6049.00,6.20
BREAKFAST,12667.00,44.50,10483.00,37.40,2184.00,7.10,8409.00,48.10,4258.00,-3.60
LUNCH,7769.00,27.30,8331.00,29.70,-562.00,-2.40,5840.00,33.40,1929.00,-6.10
DINNER,4526.00,15.90,5356.00,19.10,-830.00,-3.20,1401.00,8.00,3125.00,7.90
TOTALJoe Merchant  FOOD,24962.00,87.80,24170.00,86.20,792.00,1.50,15651.00,89.60,9312.00,-1.80
BEER,1013.00,3.60,1758.00,6.30,-745.00,-2.70,601.00,3.40,412.00,0.10
WINE,815.00,2.90,515.00,1.80,300.00,1.00,365.00,2.10,450.00,0.80
TOTAL Joe Merchant  BEVERAGE,1828.00,6.40,2274.00,8.10,-446.00,-1.70,966.00,5.50,862.00,0.90
ALLOWANCES,-39.00,-0.10,0.00,0.00,-39.00,-0.10,-18.00,-0.10,-21.00,0.00
OTHER,1690.00,5.90,1583.00,5.60,107.00,0.30,874.00,5.00,816.00,0.90
TOTAL Joe Merchant OTHER,1651.00,5.80,1583.00,5.60,68.00,0.20,857.00,4.90,795.00,0.90
TOTAL Joe Merchant REVENUE,28442.00,100.00,28027.00,100.00,415.00,0.00,17473.00,100.00,10968.00,0.00
MANAGER,2629.00,9.20,0.00,0.00,2629.00,9.20,0.00,0.00,2629.00,9.20
TOTAL VENUE 3 SERVICE MANAGEMENT,2629.00,9.20,0.00,0.00,2629.00,9.20,0.00,0.00,2629.00,9.20
TOTAL VENUE 3 MANAGEMENT,2629.00,9.20,0.00,0.00,2629.00,9.20,0.00,0.00,2629.00,9.20
COOKS,5436.00,19.10,5620.00,20.10,-184.00,-0.90,2955.00,16.90,2481.00,2.20
STEWARDS,-1415.00,-5.00,0.00,0.00,-1415.00,-5.00,0.00,0.00,-1415.00,-5.00
TOTAL VENUE 3 KITCHEN NON-MANAGEMENT,4021.00,14.10,5620.00,20.10,-1599.00,-5.90,2955.00,16.90,1066.00,-2.80
CASHIERS,12906.00,45.40,5136.00,18.30,7770.00,27.10,4553.00,26.10,8353.00,19.30
SUPERVISOR,2766.00,9.70,2690.00,9.60,76.00,0.10,887.00,5.10,1879.00,4.60
TOTAL VENUE 3 SERVICE NON-MANAGEMENT,15672.00,55.10,7827.00,27.90,7846.00,27.20,5440.00,31.10,10232.00,24.00
TOTAL VENUE 3 NON-MANAGEMENT,19693.00,69.20,13446.00,48.00,6247.00,21.30,8395.00,48.00,11298.00,21.20
SUBTOTAL: VENUE 3 SALARIES & WAGES,22322.00,78.50,13446.00,48.00,8875.00,30.50,8395.00,48.00,13927.00,30.40
CONTRACTED/LEASED & OUTSOURCED LABOR,837.00,2.90,1037.00,3.70,-199.00,-0.80,0.00,0.00,837.00,2.90
TOTAL VENUE 3 CONTRACT LABOR,837.00,2.90,1037.00,3.70,-199.00,-0.80,0.00,0.00,837.00,2.90
"TOTAL VENUE 3 SALARIES, WAGES, SC, CONTRACT & BONUS",23159.00,81.40,14483.00,51.70,8676.00,29.80,8395.00,48.00,14764.00,33.40
PAYROLL TAXES,1296.00,4.60,1086.00,3.90,210.00,0.70,708.00,4.10,588.00,0.50
TOTAL VENUE 3 TAXES,1296.00,4.60,1086.00,3.90,210.00,0.70,708.00,4.10,588.00,0.50
SUPPLEMENTAL PAY,1307.00,0.00,469.00,0.00,838.00,0.00,216.00,0.00,1091.00,0.00
PTO PAY,973.00,3.40,197.00,0.70,776.00,2.70,68.00,0.40,905.00,3.00
TOTAL VENUE 3 SUPPLEMENTAL PAY,2281.00,8.00,666.00,2.40,1614.00,5.60,284.00,1.60,1996.00,6.40
WORKERS COMP,509.00,1.80,172.00,0.60,337.00,1.20,426.00,2.40,83.00,-0.60
HEALTH INSURANCE,-676.00,-2.40,500.00,1.80,-1176.00,-4.20,751.00,4.30,-1427.00,-6.70
EMPLOYEE MEALS,431.00,1.50,249.00,0.90,182.00,0.60,1303.00,7.50,-872.00,-5.90
EMPLOYEE BENEFITS,16.00,0.10,4.00,0.00,12.00,0.00,4.00,0.00,12.00,0.00
TOTAL VENUE 3 BENEFITS,279.00,1.00,925.00,3.30,-646.00,-2.30,2484.00,14.20,-2205.00,-13.20
TOTAL VENUE 3 PAYROLL RELATED,3856.00,13.60,2678.00,9.60,1178.00,4.00,3476.00,19.90,380.00,-6.30
TOTAL VENUE 3 LABOR & RELATED,27015.00,95.00,17161.00,61.20,9854.00,33.80,11871.00,67.90,15144.00,27.00
TOTAL Joe Merchant  EXPENSE,27015.00,95.00,25564.00,91.20,1451.00,3.80,11871.00,67.90,15144.00,27.00
TOTAL Joe Merchant  PROFIT,1427.00,5.00,2463.00,8.80,-1036.00,-3.80,5602.00,32.10,-4176.00,-27.00
MANAGER,0.00,0.00,3276.00,0.00,-3276.00,0.00,0.00,0.00,0.00,0.00
TOTAL VENUE 4 SERVICE MANAGEMENT,0.00,0.00,3276.00,0.00,-3276.00,0.00,0.00,0.00,0.00,0.00
TOTAL VENUE 4 MANAGEMENT,0.00,0.00,3276.00,0.00,-3276.00,0.00,0.00,0.00,0.00,0.00
SERVERS,0.00,0.00,0.00,0.00,0.00,0.00,623.00,0.00,-623.00,0.00
BARBACKS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL VENUE 4 VENUE NON-MANAGEMENT,0.00,0.00,0.00,0.00,0.00,0.00,623.00,0.00,-623.00,0.00
TOTAL VENUE 4 NON-MANAGEMENT,0.00,0.00,0.00,0.00,0.00,0.00,623.00,0.00,-623.00,0.00
SUBTOTAL: VENUE 4 SALARIES & WAGES,0.00,0.00,3276.00,0.00,-3276.00,0.00,623.00,0.00,-623.00,0.00
"TOTAL VENUE 4 SALARIES, WAGES, SC, CONTRACT & BONUS",0.00,0.00,3276.00,0.00,-3276.00,0.00,623.00,0.00,-623.00,0.00
PAYROLL TAXES,0.00,0.00,246.00,0.00,-246.00,0.00,128.00,0.00,-128.00,0.00
TOTAL VENUE 4 TAXES,0.00,0.00,246.00,0.00,-246.00,0.00,128.00,0.00,-128.00,0.00
SUPPLEMENTAL PAY,-571.00,0.00,960.00,0.00,-1531.00,0.00,960.00,0.00,-1531.00,0.00
PTO PAY,576.00,0.00,420.00,0.00,156.00,0.00,420.00,0.00,156.00,0.00
TOTAL VENUE 4 SUPPLEMENTAL PAY,5.00,0.00,1380.00,0.00,-1375.00,0.00,1380.00,0.00,-1375.00,0.00
WORKERS COMP,0.00,0.00,438.00,0.00,-438.00,0.00,438.00,0.00,-438.00,0.00
HEALTH INSURANCE,-27.00,0.00,289.00,0.00,-316.00,0.00,289.00,0.00,-316.00,0.00
EMPLOYEE MEALS,104.00,0.00,8.00,0.00,96.00,0.00,8.00,0.00,96.00,0.00
EMPLOYEE BENEFITS,0.00,0.00,1.00,0.00,-1.00,0.00,1.00,0.00,-1.00,0.00
TOTAL VENUE 4 TAXES,77.00,0.00,736.00,0.00,-660.00,0.00,736.00,0.00,-660.00,0.00
TOTAL VENUE 4 PAYROLL RELATED,82.00,0.00,2362.00,0.00,-2280.00,0.00,2244.00,0.00,-2163.00,0.00
TOTAL VENUE 4 LABOR & RELATED,82.00,0.00,5639.00,0.00,-5557.00,0.00,2867.00,0.00,-2785.00,0.00
TOTAL Lone Palm EXPENSE,82.00,0.00,5639.00,0.00,-5557.00,0.00,2867.00,0.00,-2785.00,0.00
TOTAL Lone Palm PROFIT,-82.00,0.00,-5639.00,0.00,5557.00,0.00,-2867.00,0.00,2785.00,0.00
SUPPLEMENTAL PAY,-66.00,0.00,0.00,0.00,-66.00,0.00,0.00,0.00,-66.00,0.00
PTO PAY,69.00,0.00,0.00,0.00,69.00,0.00,0.00,0.00,69.00,0.00
TOTAL VENUE 5 SUPPLEMENTAL PAY,3.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,0.00
HEALTH INSURANCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL VENUE 5 BENEFITS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL VENUE 5 PAYROLL RELATED,3.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,0.00
TOTAL VENUE 5 LABOR & RELATED,3.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,0.00
TOTAL 5 O’Clock EXPENSE,3.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,0.00
TOTAL 5 O’Clock PROFIT,-3.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,-3.00,0.00
BREAKFAST,532.00,4.60,949.00,13.70,-417.00,-9.00,413.00,7.40,118.00,-2.80
LUNCH,2392.00,20.90,1340.00,19.30,1053.00,1.60,1520.00,27.30,872.00,-6.40
TOTAL Playin a Round Café  FOOD,2924.00,25.50,2288.00,33.00,636.00,-7.50,1933.00,34.70,991.00,-9.20
LIQUOR,2511.00,21.90,1351.00,19.50,1160.00,2.40,1061.00,19.00,1450.00,2.90
BEER,5650.00,49.30,2703.00,39.00,2948.00,10.30,2420.00,43.40,3230.00,5.90
WINE,48.00,0.40,450.00,6.50,-402.00,-6.10,15.00,0.30,33.00,0.10
TOTAL Playin a Round Café  BEVERAGE,8209.00,71.70,4504.00,65.00,3705.00,6.70,3496.00,62.80,4713.00,8.90
OTHER,322.00,2.80,142.00,2.00,180.00,0.80,142.00,2.50,180.00,0.30
TOTAL Playin a Round Cafe OTHER,322.00,2.80,142.00,2.00,180.00,0.80,142.00,2.50,180.00,0.30
TOTAL Playin a Round Café REVENUE,11456.00,100.00,6934.00,100.00,4521.00,0.00,5571.00,100.00,5884.00,0.00
COOKS,122.00,1.10,509.00,7.30,-388.00,-6.30,1385.00,24.90,-1263.00,-23.80
TOTAL VENUE 6 KITCHEN NON-MANAGEMEN,122.00,1.10,509.00,7.30,-388.00,-6.30,1385.00,24.90,-1263.00,-23.80
BARTENDERS,2114.00,18.50,770.00,11.10,1344.00,7.30,1351.00,24.20,763.00,-5.80
TOTAL VENUE 6 VENUE NON-MANAGEMENT,2114.00,18.50,770.00,11.10,1344.00,7.30,1351.00,24.20,763.00,-5.80
TOTAL VENUE 6 NON-MANAGEMENT,2235.00,19.50,1280.00,18.50,956.00,1.10,2736.00,49.10,-501.00,-29.60
SUBTOTAL: VENUE 6 SALARIES & WAGES,2235.00,19.50,1280.00,18.50,956.00,1.10,2736.00,49.10,-501.00,-29.60
"TOTAL VENUE 6   SALARIES, WAGES, SC, CONTRACT & BONUS",2235.00,19.50,1280.00,18.50,956.00,1.10,2736.00,49.10,-501.00,-29.60
PAYROLL TAXES,224.00,2.00,96.00,1.40,128.00,0.60,164.00,2.90,60.00,-1.00
TOTAL VENUE 6 TAXES,224.00,2.00,96.00,1.40,128.00,0.60,164.00,2.90,60.00,-1.00
WORKERS COMP,87.00,0.80,32.00,0.50,56.00,0.30,206.00,3.70,-119.00,-2.90
HEALTH INSURANCE,-9.00,-0.10,125.00,1.80,-134.00,-1.90,81.00,1.50,-90.00,-1.50
401K,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00
EMPLOYEE MEALS,121.00,1.10,30.00,0.40,91.00,0.60,9.00,0.20,111.00,0.90
EMPLOYEE BENEFITS,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
TOTAL VENUE 6 BENEFITS,204.00,1.80,186.00,2.70,17.00,-0.90,296.00,5.30,-92.00,-3.50
TOTAL VENUE 6 PAYROLL RELATED,427.00,3.70,282.00,4.10,145.00,-0.30,460.00,8.30,-32.00,-4.50
TOTAL VENUE 6 LABOR & RELATED,2663.00,23.20,1562.00,22.50,1101.00,0.70,3196.00,57.40,-533.00,-34.10
TOTAL Playin a Round Café  EXPENSE,2663.00,23.20,3111.00,44.90,-449.00,-21.60,3196.00,57.40,-533.00,-34.10
TOTAL Playin a Round Café  PROFIT,8793.00,76.80,3823.00,55.10,4970.00,21.60,2376.00,42.60,6417.00,34.10
LUNCH,3038.00,7.40,0.00,0.00,3038.00,7.40,13.00,0.10,3025.00,7.40
DINNER,10473.00,25.60,9610.00,27.10,863.00,-1.50,1119.00,4.50,9354.00,21.00
TOTAL BoathouseFOOD,13511.00,33.00,9610.00,27.10,3901.00,5.90,1132.00,4.60,12379.00,28.40
LIQUOR,18783.00,45.90,17507.00,49.40,1276.00,-3.50,15296.00,62.10,3487.00,-16.20
BEER,6531.00,16.00,5836.00,16.50,695.00,-0.50,5615.00,22.80,916.00,-6.80
WINE,989.00,2.40,1167.00,3.30,-178.00,-0.90,1370.00,5.60,-381.00,-3.10
TOTAL Boathouse BEVERAGE,26302.00,64.30,24510.00,69.10,1792.00,-4.90,22281.00,90.50,4021.00,-26.20
ALLOWANCES,-42.00,-0.10,0.00,0.00,-42.00,-0.10,0.00,0.00,-42.00,-0.10
OTHER,1150.00,2.80,1328.00,3.70,-178.00,-0.90,1207.00,4.90,-57.00,-2.10
TOTAL Boathouse OTHER,1108.00,2.70,1328.00,3.70,-220.00,-1.00,1207.00,4.90,-99.00,-2.20
TOTAL Boathouse REVENUE,40921.00,100.00,35448.00,100.00,5473.00,0.00,24620.00,100.00,16301.00,0.00
MANAGER,2596.00,6.30,3879.00,10.90,-1283.00,-4.60,3363.00,13.70,-766.00,-7.30
TOTAL Boathouse MANAGEMENT,2967.00,7.30,3879.00,10.90,-912.00,-3.70,3363.00,13.70,-396.00,-6.40
COOKS,0.00,0.00,1925.00,5.40,-1925.00,-5.40,0.00,0.00,0.00,0.00
TOTAL Boathouse KITCHEN NON-MANAGEMENT,0.00,0.00,1925.00,5.40,-1925.00,-5.40,0.00,0.00,0.00,0.00
SERVERS,0.00,0.00,812.00,2.30,-812.00,-2.30,357.00,1.40,-357.00,-1.40
BARTENDERS,1030.00,2.50,2190.00,6.20,-1160.00,-3.70,1452.00,5.90,-422.00,-3.40
BARBACKS,690.00,1.70,1106.00,3.10,-416.00,-1.40,663.00,2.70,28.00,-1.00
SUPERVISOR,0.00,0.00,0.00,0.00,0.00,0.00,2133.00,8.70,-2133.00,-8.70
TOTAL Boathouse NON-MANAGEMENT,1720.00,4.20,6033.00,17.00,-4313.00,-12.80,4604.00,18.70,-2884.00,-14.50
SUBTOTAL: Boathouse SALARIES & WAGES,4687.00,11.50,9913.00,28.00,-5225.00,-16.50,7967.00,32.40,-3279.00,-20.90
"TOTAL Boathouse  SALARIES, WAGES, SC, CONTRACT & B",4687.00,11.50,9913.00,28.00,-5225.00,-16.50,7967.00,32.40,-3279.00,-20.90
PAYROLL TAXES,1022.00,2.50,743.00,2.10,279.00,0.40,891.00,3.60,132.00,-1.10
TOTAL VENUE 7 TAXES,1022.00,2.50,743.00,2.10,279.00,0.40,891.00,3.60,132.00,-1.10
SUPPLEMENTAL PAY,652.00,1.60,242.00,0.70,410.00,0.90,448.00,1.80,204.00,-0.20
PTO PAY,435.00,1.10,180.00,0.50,254.00,0.60,188.00,0.80,247.00,0.30
TOTAL Boathouse SUPPLEMENTAL PAY,1087.00,2.70,422.00,1.20,665.00,1.50,636.00,2.60,451.00,0.10
WORKERS COMP,169.00,0.40,228.00,0.60,-59.00,-0.20,434.00,1.80,-264.00,-1.30
HEALTH INSURANCE,-184.00,-0.50,642.00,1.80,-826.00,-2.30,642.00,2.60,-826.00,-3.10
401K,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EMPLOYEE MEALS,0.00,0.00,203.00,0.60,-203.00,-0.60,2.00,0.00,-2.00,0.00
EMPLOYEE BENEFITS,5.00,0.00,2.00,0.00,3.00,0.00,2.00,0.00,3.00,0.00
TOTAL Boathouse BENEFITS,-9.00,0.00,1075.00,3.00,-1085.00,-3.10,1080.00,4.40,-1090.00,-4.40
TOTAL Boathouse LABOR & RELATED,6787.00,16.60,12154.00,34.30,-5367.00,-17.70,10574.00,42.90,-3787.00,-26.40
DUES & SUBSCRIPTIONS,0.00,0.00,427.00,1.20,-427.00,-1.20,427.00,1.70,-427.00,-1.70
TOTAL Boathouse EXPENSE,6787.00,16.60,19886.00,56.10,-13099.00,-39.50,11001.00,44.70,-4214.00,-28.10
TOTAL Boathouse PROFIT,34134.00,83.40,15562.00,43.90,18572.00,39.50,13619.00,55.30,20515.00,28.10
BREAKFAST,1045.00,17.90,0.00,0.00,1045.00,17.90,0.00,0.00,1045.00,17.90
LUNCH,3361.00,57.60,0.00,0.00,3361.00,57.60,0.00,0.00,3361.00,57.60
TOTAL Waterside Cove FOOD,4406.00,75.60,0.00,0.00,4406.00,75.60,0.00,0.00,4406.00,75.60
LIQUOR,144.00,2.50,0.00,0.00,144.00,2.50,0.00,0.00,144.00,2.50
WINE,360.00,6.20,0.00,0.00,360.00,6.20,0.00,0.00,360.00,6.20
TOTAL Waterside Cove BEVERAGE,504.00,8.60,0.00,0.00,504.00,8.60,0.00,0.00,504.00,8.60
SERVICE CHARGES,921.00,15.80,0.00,0.00,921.00,15.80,0.00,0.00,921.00,15.80
TOTAL Waterside Cove OTHER,921.00,15.80,0.00,0.00,921.00,15.80,0.00,0.00,921.00,15.80
TOTAL Waterside Cove REVENUE,5831.00,100.00,0.00,0.00,5831.00,100.00,0.00,0.00,5831.00,100.00
TOTAL VENUE 8 GROSS PROFIT,5831.00,100.00,0.00,0.00,5831.00,100.00,0.00,0.00,5831.00,100.00
CASHIERS,0.00,0.00,34.00,0.00,-34.00,0.00,34.00,0.00,-34.00,0.00
BARTENDERS,117.00,2.00,363.00,0.00,-246.00,2.00,363.00,0.00,-246.00,2.00
TOTAL VENUE 8 VENUE NON-MANAGEMENT,117.00,2.00,397.00,0.00,-279.00,2.00,397.00,0.00,-279.00,2.00
TOTAL VENUE 8 NON-MANAGEMENT,117.00,2.00,397.00,0.00,-279.00,2.00,397.00,0.00,-279.00,2.00
SUBTOTAL: VENUE 8 SALARIES & WAGES,117.00,2.00,397.00,0.00,-279.00,2.00,397.00,0.00,-279.00,2.00
CONTRACTED/LEASED & OUTSOURCED LABOR,0.00,0.00,1853.00,0.00,-1853.00,0.00,1853.00,0.00,-1853.00,0.00
TOTAL VENUE 8 CONTRACT LABOR,0.00,0.00,1853.00,0.00,-1853.00,0.00,1853.00,0.00,-1853.00,0.00
"TOTAL VENUE 8 SALARIES, WAGES, SC, CONTRACT & BONUS",117.00,2.00,2250.00,0.00,-2133.00,2.00,2250.00,0.00,-2133.00,2.00
PAYROLL TAXES,86.00,1.50,169.00,0.00,-83.00,1.50,301.00,0.00,-215.00,1.50
TOTAL VENUE 8 TAXES,86.00,1.50,169.00,0.00,-83.00,1.50,301.00,0.00,-215.00,1.50
WORKERS COMP,0.00,0.00,3.00,0.00,-3.00,0.00,18.00,0.00,-18.00,0.00
HEALTH INSURANCE,113.00,1.90,800.00,0.00,-687.00,1.90,1580.00,0.00,-1467.00,1.90
EMPLOYEE MEALS,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00
EMPLOYEE BENEFITS,1.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,-1.00,0.00
TOTAL VENUE 8 BENEFITS,116.00,2.00,803.00,0.00,-687.00,2.00,1600.00,0.00,-1484.00,2.00
TOTAL VENUE 8 PAYROLL RELATED,201.00,3.50,972.00,0.00,-771.00,3.50,1901.00,0.00,-1700.00,3.50
TOTAL VENUE 8 LABOR & RELATED,319.00,5.50,3222.00,0.00,-2903.00,5.50,4151.00,0.00,-3832.00,5.50
TOTAL VENUE 8 EXPENSE,319.00,5.50,3222.00,0.00,-2903.00,5.50,4151.00,0.00,-3832.00,5.50
TOTAL VENUE 8 PROFIT,5513.00,94.50,-3222.00,0.00,8735.00,94.50,-4151.00,0.00,9664.00,94.50
BREAKFAST,11940.00,4.10,15561.00,5.60,-3621.00,-1.50,17276.00,4.20,-5336.00,-0.10
LUNCH,22956.00,7.90,24027.00,8.70,-1071.00,-0.80,17322.00,4.20,5633.00,3.70
DINNER,27345.00,9.40,46377.00,16.70,-19033.00,-7.30,64374.00,15.70,-37030.00,-6.30
BREAKS A.M.,15141.00,5.20,10912.00,3.90,4230.00,1.30,13824.00,3.40,1317.00,1.80
TOTAL BANQUETS FOOD,77382.00,26.60,96877.00,34.90,-19495.00,-8.30,112797.00,27.60,-35415.00,-1.00
BREAKFAST - CATERING,2141.00,0.70,1691.00,0.60,451.00,0.10,0.00,0.00,2141.00,0.70
LUNCH - CATERING,368.00,0.10,9345.00,3.40,-8977.00,-3.20,2020.00,0.50,-1652.00,-0.40
DINNER - CATERING,69973.00,24.10,39814.00,14.40,30158.00,9.70,43459.00,10.60,26513.00,13.40
CATERING-COFFEE BREAK,70.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,70.00,0.00
BREAKS A.M. - CATERING,0.00,0.00,473.00,0.20,-473.00,-0.20,473.00,0.10,-473.00,-0.10
RECEPTIONS - CATERING,0.00,0.00,1610.00,0.60,-1610.00,-0.60,0.00,0.00,0.00,0.00
TOTAL CATERING FOOD,72552.00,25.00,52933.00,19.10,19619.00,5.90,45953.00,11.20,26599.00,13.70
LIQUOR,12935.00,4.50,8517.00,3.10,4418.00,1.40,3182.00,0.80,9753.00,3.70
BEER,4159.00,1.40,3373.00,1.20,787.00,0.20,3602.00,0.90,558.00,0.60
WINE,1757.00,0.60,2113.00,0.80,-356.00,-0.20,3233.00,0.80,-1476.00,-0.20
TOTAL BANQUETS BEVERAGE,18851.00,6.50,14003.00,5.00,4849.00,1.40,10016.00,2.50,8835.00,4.00
LIQUOR - CATERING,19634.00,6.80,4301.00,1.60,15333.00,5.20,43112.00,10.50,-23478.00,-3.80
BEER - CATERING,2196.00,0.80,4869.00,1.80,-2673.00,-1.00,5161.00,1.30,-2965.00,-0.50
WINE - CATERING,4303.00,1.50,4370.00,1.60,-67.00,-0.10,5412.00,1.30,-1109.00,0.20
TOTAL CATERING BEVERAGE,26132.00,9.00,13540.00,4.90,12592.00,4.10,53685.00,13.10,-27552.00,-4.10
MEETING ROOM RENTALS,3621.00,1.20,20962.00,7.60,-17342.00,-6.30,79561.00,19.50,-75940.00,-18.20
SERVICE CHARGES,58004.00,20.00,53188.00,19.20,4816.00,0.80,66223.00,16.20,-8219.00,3.80
AV RENTAL/TECHNOLOGY,28949.00,10.00,21442.00,7.70,7506.00,2.20,33832.00,8.30,-4883.00,1.70
MISC BANQUET INCOME,5110.00,1.80,4359.00,1.60,751.00,0.20,6715.00,1.60,-1605.00,0.10
TOTAL BANQUETS & CATERING OTHER,95683.00,32.90,99951.00,36.00,-4268.00,-3.10,186331.00,45.60,-90647.00,-12.70
TOTAL BANQUETS & CATERING REVENUE,290600.00,100.00,277304.00,100.00,13296.00,0.00,408781.00,100.00,-118180.00,0.00
LIQUOR,4059.00,12.50,1923.00,15.00,2136.00,-2.50,1035.00,2.20,3023.00,10.20
BEER,1368.00,21.50,1401.00,17.00,-33.00,4.50,421.00,4.80,947.00,16.70
WINE,1669.00,27.50,1491.00,23.00,178.00,4.50,1329.00,15.40,340.00,12.20
AV RENTAL/TECHNOLOGY,17968.00,62.10,13028.00,60.80,4940.00,1.30,21435.00,63.40,-3466.00,-1.30
OTHER,0.00,0.00,0.00,0.00,0.00,0.00,-1151.00,-17.10,1151.00,17.10
MANAGER,5304.00,1.80,4915.00,1.80,389.00,0.10,5692.00,1.40,-388.00,0.40
TOTAL BANQUETS & CATERING SERVICE MANAGEMENT,5304.00,1.80,4915.00,1.80,389.00,0.10,5692.00,1.40,-388.00,0.40
SOUS CHEF,0.00,0.00,4259.00,1.50,-4259.00,-1.50,2610.00,0.60,-2610.00,-0.60
COOKS,438.00,0.20,0.00,0.00,438.00,0.20,0.00,0.00,438.00,0.20
TOTAL BANQUETS & CATERING KITCHEN NON-MANAGEMENT,438.00,0.20,4259.00,1.50,-3821.00,-1.40,2610.00,0.60,-2172.00,-0.50
BANQUET SETUP/BREAKDOWN,5119.00,1.80,2092.00,0.80,3028.00,1.00,3526.00,0.90,1593.00,0.90
SERVERS,6538.00,2.20,4165.00,1.50,2373.00,0.70,4902.00,1.20,1636.00,1.10
CAPTAINS,5676.00,2.00,6160.00,2.20,-484.00,-0.30,8408.00,2.10,-2731.00,-0.10
BARTENDERS,1407.00,0.50,1147.00,0.40,260.00,0.10,786.00,0.20,621.00,0.30
BARBACKS,54.00,0.00,0.00,0.00,54.00,0.00,0.00,0.00,54.00,0.00
SUPERVISOR,0.00,0.00,2690.00,1.00,-2690.00,-1.00,0.00,0.00,0.00,0.00
TOTAL BANQUETS & CATERING NON-MANAGEMENT,19232.00,6.60,20513.00,7.40,-1281.00,-0.80,20231.00,4.90,-1000.00,1.70
SUBTOTAL: BANQUETS & CATERING SALARIES & WAGES,24536.00,8.40,25428.00,9.20,-892.00,-0.70,25924.00,6.30,-1388.00,2.10
SERVICE CHARGES DISTRIBUTED,39442.00,13.60,27094.00,9.80,12348.00,3.80,36283.00,8.90,3159.00,4.70
TOTAL BANQUETS & CATERING SERVICE CHARGE,39442.00,13.60,27094.00,9.80,12348.00,3.80,36283.00,8.90,3159.00,4.70
CONTRACTED/LEASED & OUTSOURCED LABOR,1558.00,0.50,7910.00,2.90,-6352.00,-2.30,0.00,0.00,1558.00,0.50
TOTAL BANQUETS & CATERING CONTRACT LABOR,1558.00,0.50,7910.00,2.90,-6352.00,-2.30,0.00,0.00,1558.00,0.50
"TOTAL BANQUETS & CATERING SALARIES, WAGES, SC, CONTRACT & BONUS",65536.00,22.60,60432.00,21.80,5104.00,0.80,62206.00,15.20,3329.00,7.30
PAYROLL TAXES,3764.00,1.30,4532.00,1.60,-769.00,-0.30,2359.00,0.60,1404.00,0.70
TOTAL BANQUETS & CATERING TAXES,3764.00,1.30,4532.00,1.60,-769.00,-0.30,2359.00,0.60,1404.00,0.70
SUPPLEMENTAL PAY,1544.00,0.00,870.00,0.00,674.00,0.00,1066.00,0.00,478.00,0.00
PTO EXPENSE,1107.00,0.40,949.00,0.30,158.00,0.00,1580.00,0.40,-473.00,0.00
TOTAL BANQUETS & CATERING SUPPLEMENTAL PAY,2651.00,0.90,1819.00,0.70,832.00,0.30,2646.00,0.60,5.00,0.30
WORKERS COMP,2459.00,0.80,544.00,0.20,1915.00,0.70,717.00,0.20,1742.00,0.70
HEALTH INSURANCE,-4661.00,-1.60,7143.00,2.60,-11804.00,-4.20,3997.00,1.00,-8658.00,-2.60
401K,68.00,0.00,79.00,0.00,-10.00,0.00,0.00,0.00,68.00,0.00
EMPLOYEE MEALS,565.00,0.20,661.00,0.20,-96.00,0.00,179.00,0.00,386.00,0.20
EMPLOYEE BENEFITS,45.00,0.00,8.00,0.00,37.00,0.00,8.00,0.00,37.00,0.00
TOTAL BANQUETS & CATERING BENEFITS,-1523.00,-0.50,8434.00,3.00,-9958.00,-3.60,4901.00,1.20,-6424.00,-1.70
TOTAL BANQUETS & CATERING PAYROLL RELATED,4891.00,1.70,14786.00,5.30,-9895.00,-3.60,9906.00,2.40,-5015.00,-0.70
TOTAL BANQUETS & CATERING LABOR & RELATED,70427.00,24.20,75218.00,27.10,-4791.00,-2.90,72112.00,17.60,-1685.00,6.60
